ratio_egv_max,list_ass_sep_trace,list_ass_edu_trace,ratio_egv_max_quant,list_ass_sep_trace_quant,list_ass_edu_trace_quant,list_eigv_ratio_keep_sep,list_eigv_ratio_keep_edu
1.0062330929277816,1.0423351120742332,1.0818788961295236,0-20,0-20,20-40,1.001853508446713,1.0027476433712008
1.0068270725550157,1.1632066879677376,0.9400396020791464,40-60,20-40,0-20,1.0020492606766656,1.002573705817435
1.0068706007648052,1.2239691976701164,1.0815390045927735,40-60,40-60,20-40,1.002827382388923,1.0025439681665753
1.007026310849177,1.3361368397920672,1.1989930657619414,40-60,80-100,60-80,1.0022720096400113,1.0029783290034764
1.007525082896732,1.217297310903363,1.302891294138758,60-80,40-60,80-100,1.0028697853824646,1.0028765616298312
1.0073877696269538,1.1692855301647636,0.9133030967133676,60-80,40-60,0-20,1.0029542964780644,1.0027715249809224
1.0072538621823075,1.1967818003220208,1.06632920807255,60-80,40-60,20-40,1.001638716431038,1.0030020315724237
1.0072204095558674,1.100311982759313,0.9429098540126728,60-80,0-20,0-20,1.0028125083357193,1.002646158757014
1.0063958311679273,1.1359477141803451,1.121718743000144,0-20,20-40,40-60,1.0017344059181965,1.0026468229510932
1.0075130799184622,1.1408175849964624,1.0444052896002292,60-80,20-40,20-40,1.0025691026978576,1.0028876100690873
1.006885753720188,1.1091329875765248,1.0526083602741978,40-60,20-40,20-40,1.001705582903646,1.0027340545909373
1.0073703846605255,1.1260533759029734,0.9334483674762292,60-80,20-40,0-20,1.0031895132575621,1.0027877257285969
1.0071813755646604,1.3669469216942824,1.2729623031212496,60-80,80-100,80-100,1.0023073728887946,1.0029782333273771
1.006417624522793,0.9271299652539468,0.8360508867646151,0-20,0-20,0-20,1.0022986100906648,1.0026515170499994
1.0086194639159822,1.156422910274133,0.9484317761665892,80-100,20-40,0-20,1.0030342842297177,1.0029143083516188
1.007353295077689,1.2392271950514804,1.0777072977661704,60-80,60-80,20-40,1.002820047608668,1.0028758394575708
1.007622058850857,1.092189548810399,1.0059883392120872,80-100,0-20,20-40,1.002753322445518,1.0027076069209342
1.0070972130804876,1.0793255314543178,1.2145131069958772,40-60,0-20,60-80,1.0024688769575505,1.0028554880229286
1.0066224871583802,1.0910792466227133,1.3231315490523046,20-40,0-20,80-100,1.0016707330438963,1.0030042427302026
1.0078761948045116,1.3978282970296652,1.2610593792398674,80-100,80-100,80-100,1.0018909865896792,1.0029216074044285
1.006915692909049,1.0890394928241105,1.32808987129409,40-60,0-20,80-100,1.0017133257282178,1.0032302885921232
1.0067175622846671,1.1730892471034693,0.9844415167141064,20-40,40-60,0-20,1.0023493494489255,1.002787980664285
1.0068755333213566,1.005410349853368,1.080482163841789,40-60,0-20,20-40,1.002304389898761,1.0029441006885553
1.0082343659352462,1.1131019582037596,1.2691947109989372,80-100,20-40,80-100,1.0025229289481996,1.0029487213030601
1.0070552061347016,0.9495262021868278,0.9125212330198234,40-60,0-20,0-20,1.001672299168748,1.002498509013868
1.0074329866389569,1.246679293755374,1.0192532135812096,60-80,60-80,20-40,1.0031209565611823,1.0026905259485044
1.0071951569915687,1.2194459847146868,1.173758009988538,60-80,40-60,60-80,1.003163681638576,1.0027579733597745
1.007752720585322,1.2374280702292042,1.2821358120207769,80-100,60-80,80-100,1.0030446862845432,1.0028890600827873
1.006617023937627,1.112415131003012,1.098883167861504,20-40,20-40,40-60,1.0017420953219933,1.0027900578086646
1.0068980774696668,1.2671303777383494,1.0924906807035484,40-60,60-80,40-60,1.002740353593589,1.0026485891949675
1.007237264858028,1.24209214859354,0.9376466093544014,60-80,60-80,0-20,1.0016510183119078,1.002565358143607
