combination,groups,target,size,rel_imm_thr,abs_imm_thr,index,ratio_egv_max,list_ass_sep_trace,list_ass_edu_trace,ratio_egv_max_quant,list_ass_sep_trace_quant,list_ass_edu_trace_quant,list_eigv_ratio_keep_sep,list_eigv_ratio_keep_edu
5032,1,"high SEP, low edu",0.45,0.89,0.4,5032,1.0062594175680235,1.1271806359119585,1.062898865146124,0-20,20-40,20-40,1.0017599506157644,1.0026224173860092
5033,1,"high SEP, low edu",0.45,0.96,0.44,5033,1.006427101864678,1.1677116916931307,0.8590740318209578,0-20,40-60,0-20,1.001963792273191,1.0026506188301294
5035,1,"high SEP, low edu",0.45,0.88,0.4,5035,1.0071566314519098,1.094391904786783,0.888266162843584,60-80,0-20,0-20,1.0017640493741784,1.0026116680182788
5037,1,"high SEP, low edu",0.45,0.86,0.39,5037,1.0065427113498029,1.2265553700959948,1.0910372163234547,20-40,60-80,40-60,1.0017747232840433,1.0027264824000488
5041,1,"high SEP, low edu",0.45,0.77,0.35,5041,1.0066636863136138,1.1046961549663648,0.8202925890332353,20-40,20-40,0-20,1.001935694311494,1.0027349250758628
5043,1,"high SEP, low edu",0.45,1.0,0.45,5043,1.0068505245095734,1.1416647229994024,1.3092801660113118,40-60,20-40,80-100,1.002152595661301,1.003034697347594
5044,1,"high SEP, low edu",0.45,0.84,0.38,5044,1.0066825866013762,0.9665658640830423,1.1029144132219717,20-40,0-20,40-60,1.0018427143243036,1.0028760086119994
5045,1,"high SEP, low edu",0.45,0.96,0.44,5045,1.0064864112299938,1.059353543057977,0.9660630439784132,20-40,0-20,0-20,1.0024295458197754,1.0026083900450402
5050,1,"high SEP, low edu",0.45,0.83,0.38,5050,1.0057781245151902,1.1412548696415057,1.0280713557192611,0-20,20-40,20-40,1.001733174403238,1.0025448668156332
5051,1,"high SEP, low edu",0.45,0.83,0.37,5051,1.006985306802174,1.0985057535787173,0.9852475100533636,40-60,0-20,0-20,1.001767656011487,1.0028361806461803
5056,1,"high SEP, low edu",0.45,0.89,0.4,5056,1.0066291736010982,1.0386813559763914,1.101795467298018,20-40,0-20,40-60,1.0023756213189794,1.0027219353247596
