comb,epi_tail,"AR_0-14, low SEP, low edu","AR_0-14, high SEP, low edu","AR_15-24, low SEP, low edu","AR_15-24, low SEP, high edu","AR_15-24, high SEP, low edu","AR_15-24, high SEP, high edu","AR_25-64, low SEP, low edu","AR_25-64, low SEP, high edu","AR_25-64, high SEP, low edu","AR_25-64, high SEP, high edu","AR_65+, low SEP, low edu","AR_65+, low SEP, high edu","AR_65+, high SEP, low edu","AR_65+, high SEP, high edu",AR_overall,AR_0-14,AR_15-24,AR_25-64,AR_65+
26,0.626583654343038,46.730853644936,46.1891991101106,74.18117478889732,89.3397445594426,67.07017635517545,68.28616318769252,54.90094974653745,61.216668891311436,55.9869913172789,56.52932788080281,43.96861879734764,50.35845283381364,41.57027176288561,56.03235008242223,54.29278226645528,46.358316430727555,69.86480346811311,56.53967774093543,45.75015570897035
27,0.6444831207779407,46.57243264525106,46.069407659609446,73.93648704124989,89.88701595570024,66.95628508385408,68.00966182328156,54.78016459267135,60.96408284483315,56.7432323826582,55.55351443238923,44.0309965091335,50.02488233956798,41.35811744227767,56.06730507049508,54.172249969346474,46.22646392389885,69.72111230355745,56.41917171210829,45.65070500144507
28,0.790409851314562,46.10649535664565,45.48989178774826,75.31324625021365,90.05708667565953,65.20548344408824,65.8189967168296,54.72698979841483,60.25097064271516,55.13258123232608,55.733929588211396,44.10928082848098,50.33718211348905,40.2181972438757,55.66030927953265,53.56644688341669,45.6824099644647,68.92433779181214,55.824040627695126,45.066735318813684
29,0.6248467143141139,46.75828165512003,46.1936825645691,73.9782873554497,89.58087356798067,67.10710933693088,68.93977792320035,55.81646720812339,60.8044336090181,56.00873370474706,56.18129396886101,44.19038322423729,51.3622107783088,41.07112793585466,56.46018279434466,54.300417112327125,46.369963716627616,69.8721258029265,56.55777072074929,45.72448708158869
30,0.6867561202307709,46.55739137770328,46.00876618158403,73.7740231941868,90.22613498257853,66.99717717026763,67.07611104984801,55.05052159556541,60.41173849059034,56.17276884896627,56.03157709550125,44.316925806457604,49.888242633165255,41.432330005627776,55.462391066988644,54.1281275653369,46.18005990705897,69.65359075482188,56.37390605466706,45.62409023531876
31,0.6575617107707067,46.41901898817993,46.1772600623886,74.06403022006404,90.17359859997612,67.00896618262564,66.7554495996608,55.522475084654545,60.23075462236426,56.119168072211025,56.1433692873333,44.489567302272704,49.85073075736021,42.156811595427335,54.350074199065595,54.22634697833067,46.25274290087022,69.72671733084225,56.46428315306001,45.77838399357574
32,0.6759714116447891,46.77483922354596,45.761976657293275,75.13633065626745,89.77995590857822,66.02403337692665,66.89988746636479,54.89896168472746,61.13080882500947,55.83430986336505,55.868917094308436,43.815966642612445,49.46147560863671,41.34090211507091,55.82986410284873,53.996939559374866,46.07821623869562,69.43287552879615,56.24806666031148,45.50182472427041
33,0.6810823985998147,46.631111688801155,45.8341672076794,73.70331512613477,90.34393981482303,66.90716761031864,66.62447328545807,55.21888044422742,60.8148161400906,56.39619817550377,55.3252120713275,44.927645923428145,49.48218002326962,41.48367666947192,54.675169187078254,54.05229193283256,46.08299207050682,69.55410932287285,56.28565527208025,45.61344249251687
34,0.6556181096693983,46.51161162843875,46.11666154851419,75.11162953896294,89.570477012091,66.34653332575276,67.36462992132711,55.238767581782064,60.877263135343604,56.060152326712455,56.07021695722262,44.12223357151841,50.03778227863254,41.943599451027815,54.97859078400037,54.18986282641381,46.239974278307585,69.64602937837758,56.43469781920133,45.72672063104599
35,0.602240874891082,46.51500914914461,46.40239725172464,74.11807851450513,88.81787599983268,67.37100262166925,68.11132218482334,55.32366289023922,61.53887898518139,56.69063826446279,55.7500822998546,43.85909574078092,50.40001290239833,41.83674224727537,56.087200800510956,54.39428255801715,46.437557342034594,70.00744942835914,56.63584976632984,45.86276020137465
